Date,Product,Quantity,Price
2020-11-04,Smartwatch,46,76.06
2024-06-14,Laptop,35,600.12
2024-03-17,Tablet,46,239.32
2024-06-17,Smartphone,14,47.93
2021-11-15,Laptop,41,299.01
2021-12-03,Tablet,11,583.71
2020-02-04,Smartwatch,24,321.68
2023-08-28,Laptop,27,443.95
2024-03-09,Tablet,24,755.98
2024-09-15,Smartwatch,12,210.35
2021-03-07,Tablet,46,154.73
2024-10-14,Fone de Ouvido,13,165.72
2025-02-18,Smartwatch,26,792.05
2024-01-02,Laptop,47,351.33
2021-03-04,Smartphone,2,771.75
2022-05-21,Smartphone,38,190.44
2020-01-06,Laptop,39,774.27
2021-03-10,Smartphone,6,553.03
2022-02-23,Tablet,26,683.11
2020-12-15,Laptop,2,462.33
2023-05-28,Fone de Ouvido,4,761.44
2023-01-09,Tablet,8,668.81
2024-05-01,Laptop,16,447.22
2023-03-21,Tablet,17,588.24
2020-06-14,Laptop,26,621.8
2025-02-24,Laptop,42,822.11
2022-02-02,Laptop,18,548.29
2023-06-15,Tablet,12,697.46
2020-08-13,Laptop,43,781.15
2023-07-19,Tablet,19,235.5
2020-07-16,Smartphone,8,115.94
2024-11-07,Smartphone,19,724.31
2021-07-18,Smartwatch,30,319.46
2024-11-09,Smartphone,6,763.3
2020-06-23,Smartwatch,34,733.23
2020-06-19,Fone de Ouvido,1,322.92
2022-09-14,Smartwatch,6,412.64
2020-12-30,Smartphone,42,874.03
2024-03-24,Laptop,27,342.77
2021-01-04,Laptop,32,882.43
2020-07-02,Laptop,33,718.84
2022-02-09,Fone de Ouvido,40,465.8
2021-03-23,Smartphone,34,54.98
2021-10-12,Laptop,22,889.99
2023-06-07,Smartphone,5,154.9
2021-04-22,Tablet,37,854.78
2024-11-18,Smartphone,23,498.23
2024-09-01,Smartwatch,28,701.39
2022-06-16,Fone de Ouvido,30,835.9
2020-12-25,Smartphone,10,693.51
2024-10-14,Smartphone,26,531.01
2022-06-20,Smartwatch,20,321.72
2021-10-17,Tablet,10,540.47
2024-08-12,Smartwatch,21,714.82
2021-11-12,Smartphone,30,872.71
2022-04-16,Tablet,50,559.44
2022-01-24,Tablet,21,150.36
2023-12-11,Smartphone,36,251.63
2021-09-26,Fone de Ouvido,27,815.41
2021-05-27,Smartwatch,42,987.97
2021-12-17,Fone de Ouvido,31,900.89
2024-07-04,Fone de Ouvido,47,293.83
2022-05-16,Smartphone,40,852.13
2022-05-28,Smartphone,23,668.23
2022-07-15,Smartphone,45,472.91
2020-02-03,Smartphone,37,129.44
2025-01-29,Smartphone,29,828.64
2024-11-20,Smartphone,7,13.26
2020-01-27,Tablet,42,176.4
2023-10-01,Laptop,14,733.95
2024-06-01,Smartwatch,19,250.61
2021-09-12,Smartwatch,38,251.51
2020-10-04,Fone de Ouvido,34,447.19
2023-08-20,Laptop,34,758.75
2024-08-20,Tablet,9,929.89
2023-03-30,Smartwatch,9,502.54
2020-05-31,Smartwatch,20,111.19
2020-01-05,Fone de Ouvido,23,867.81
2023-03-02,Tablet,41,944.82
2025-03-09,Smartphone,9,753.42
2022-06-14,Tablet,38,644.15
2022-07-24,Smartwatch,11,205.61
2024-12-24,Fone de Ouvido,11,705.27
2023-03-08,Tablet,43,782.65
2022-11-18,Fone de Ouvido,8,560.21
2022-10-02,Tablet,8,21.47
2024-05-22,Smartwatch,43,795.23
2023-04-10,Smartwatch,11,295.97
2024-08-05,Smartphone,1,321.3
2023-06-14,Fone de Ouvido,30,602.03
2020-06-19,Laptop,7,801.2
2024-10-03,Smartwatch,14,652.27
2022-10-09,Fone de Ouvido,12,774.1
2020-03-10,Smartwatch,40,254.68
2024-04-28,Fone de Ouvido,11,822.85
2020-01-25,Smartwatch,46,694.31
2021-09-24,Smartwatch,31,10.9
2023-11-15,Tablet,31,105.61
2024-01-29,Tablet,37,870.2
2020-01-15,Fone de Ouvido,9,376.76
2024-12-27,Fone de Ouvido,13,266.22
2024-09-27,Laptop,2,127.54
2023-07-19,Smartphone,7,452.46
2024-07-23,Tablet,1,352.62
2025-03-18,Fone de Ouvido,32,353.07
2023-07-21,Laptop,16,814.27
